codigo;fechareg;origen;documento;valor;estado;tipo_mov
1759;2019-01-01;7;0;286701;S;101
1760;2019-01-01;7;0;286701;S;101
1761;2019-01-01;7;0;286701;S;101
1762;2019-01-01;7;0;286701;S;101
1763;2019-01-01;7;0;286701;S;101
1764;2019-01-01;7;0;286701;S;101
1765;2019-01-01;7;0;286701;S;101
1766;2019-01-01;7;0;286701;S;101
1767;2019-01-01;7;0;286701;S;101
1768;2019-01-01;7;0;286701;S;101
1769;2019-01-01;7;0;286701;S;101
1770;2019-01-01;7;0;286701;S;101
1771;2019-01-01;7;0;286701;S;101
1772;2019-01-01;7;0;286701;S;101
1773;2019-01-01;7;0;286701;S;101
1774;2019-01-01;7;0;286701;S;101
1775;2019-01-01;7;0;286701;S;101
1776;2019-01-01;7;0;286701;S;101
1777;2019-01-01;7;0;286701;S;101
1778;2019-01-01;7;0;286701;S;101
1779;2019-01-01;7;0;286701;S;101
1780;2019-01-01;7;0;286701;S;101
1781;2019-01-01;7;0;286701;S;101
1782;2019-01-01;7;0;286701;S;101
1783;2019-01-01;7;0;286701;S;101
1812;2019-01-01;7;0;286701;S;101
1813;2019-01-01;7;0;286701;S;101
1814;2019-01-01;7;0;286701;S;101
1815;2019-01-01;7;0;286701;S;101
1816;2019-01-01;7;0;286701;S;101
1817;2019-01-01;7;0;286701;S;101
1818;2019-01-01;7;0;286701;S;101
1819;2019-01-01;7;0;286701;S;101
1820;2019-01-01;7;0;286701;S;101
1821;2019-01-01;7;0;286701;S;101
1822;2019-01-01;7;0;286701;S;101
1823;2019-01-01;7;0;286701;S;101
1824;2019-01-01;7;0;286701;S;101
1825;2019-01-01;7;0;286701;S;101
1826;2019-01-01;7;0;286701;S;101
1827;2019-01-01;7;0;286701;S;101
1828;2019-01-01;7;0;286701;S;101
1829;2019-01-01;7;0;286701;S;101
1830;2019-01-01;7;0;286701;S;101
1831;2019-01-01;7;0;286701;S;101
1832;2019-01-01;7;0;286701;S;101
1833;2019-01-01;7;0;286701;S;101
1834;2019-01-01;7;0;286701;S;101
1835;2019-01-01;7;0;286701;S;101
1836;2019-01-01;7;0;286701;S;101
1837;2019-01-01;7;0;286701;S;101
1838;2019-01-01;7;0;286701;S;101
1839;2019-01-01;7;0;286701;S;101
1840;2019-01-01;7;0;286701;S;101
1841;2019-01-01;7;0;286701;S;101
1842;2019-01-01;7;0;286701;S;101
1843;2019-01-01;7;0;286701;S;101
1844;2019-01-01;7;0;286701;S;101
1845;2019-01-01;7;0;286701;S;101
1846;2019-01-01;7;0;286701;S;101
1847;2019-01-01;7;0;286701;S;101
1848;2019-01-01;7;0;286701;S;101
1849;2019-01-01;7;0;286701;S;101
1850;2019-01-01;7;0;286701;S;101
1851;2019-01-01;7;0;286701;S;101
1852;2019-01-01;7;0;286701;S;101
1853;2019-01-01;7;0;286701;S;101
1854;2019-01-01;7;0;286701;S;101
1855;2019-01-01;7;0;286701;S;101
1856;2019-01-01;7;0;286701;S;101
1857;2019-01-01;7;0;286701;S;101
1858;2019-01-01;7;0;286701;S;101
1859;2019-01-01;7;0;286701;S;101
1860;2019-01-01;7;0;286701;S;101
1861;2019-01-01;7;0;286701;S;101
1862;2019-01-01;7;0;286701;S;101
1863;2019-01-01;7;0;286701;S;101
